country,agency_name,agency_type,rd_fraction,canonical_name,active_years,include_in_series,notes,classified_by
Australia,awareness programs,unclear,0.0,awareness programs,,False,The name does not provide enough information to classify the agency.,llm
Australia,official commemorations,unclear,0.0,Official Commemorations,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,related services,unclear,0.0,Related Services,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,workplace gender data,unclear,0.0,Workplace Gender Data,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,systems,unclear,0.0,systems,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,information,unclear,0.0,Information,,False,Cannot determine the specific focus or function of the agency from the name alone.,llm
Australia,related technologies,unclear,0.0,Related Technologies,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,outside Australia,unclear,0.0,outside Australia,,False,Cannot determine agency type from the name alone.,llm
Australia,services,unclear,0.0,services,,False,Agency name is too vague to determine its focus on R&D.,llm
Australia,passport services in specific locations overseas,unclear,0.0,Passport Services,,False,Cannot determine if this agency has any R&D focus based on the name alone.,llm
Australia,markets and networks,unclear,0.0,Markets and Networks,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,corporate and registry services,unclear,0.0,Corporate and Registry Services,,False,Cannot determine from the name alone.,llm
Australia,diverse ecosystems,unclear,0.0,Diverse Ecosystems,,False,Agency type cannot be determined from the name alone.,llm
Australia,society,unclear,0.0,society,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,geoscientific and spatial information,unclear,0.0,Geoscientific and Spatial Information,,False,Cannot determine the primary focus of the agency from the name alone.,llm
Australia,the AUKUS partnership,unclear,0.0,AUKUS Partnership,,False,The name does not specify if it is a dedicated R&D agency or a broader initiative.,llm
Australia,complaints,unclear,0.0,complaints,,False,Agency name does not provide enough information to classify.,llm
Australia,of the Australian Institute of Sport,mixed_ministry,10.0,Australian Institute of Sport,,False,"Primarily focused on sports development and training, with R&D as a minor component.",llm
Australia,organisations,unclear,0.0,organisations,,False,Agency name is too vague to determine type.,llm
Australia,outcomes for Australians,unclear,0.0,Outcomes for Australians,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,proportionate,unclear,0.0,Proportionate,,False,Cannot determine from the name alone.,llm
Australia,aged care services,unclear,0.0,Aged Care Services,,False,Cannot determine from the name alone.,llm
Australia,delivery,unclear,0.0,Delivery,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,and the Australian population,unclear,0.0,Australian Population,,False,The name does not specify an agency focused on R&D.,llm
Australia,enforcement,unclear,0.0,enforcement,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,public trust and confidence in the Tribunal,unclear,0.0,Public Trust and Confidence in the Tribunal,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,consumers in key markets,unclear,0.0,Consumers in Key Markets,,False,Agency name does not provide enough information to classify.,llm
Australia,intelligence and policing information,unclear,0.0,Intelligence and Policing Information,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,Australia's national intelligence capabilities,unclear,0.0,Australia's National Intelligence Capabilities,,False,The name does not provide enough information to classify the agency's focus on R&D.,llm
Australia,employer organisations,unclear,0.0,employer organisations,,False,The name does not specify if it is an R&D agency or a broader organization.,llm
Australia,agricultural research and training partnerships,unclear,0.0,Agricultural Research and Training Partnerships,,False,Cannot determine the primary focus or budget allocation from the name alone.,llm
Australia,experiences,unclear,0.0,experiences,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,"Parliament, the Executive and the public",unclear,0.0,"Parliament, the Executive and the public",,False,The name does not specify a dedicated R&D agency or a specific ministry.,llm
Australia,the Commonwealth,unclear,0.0,the Commonwealth,,False,Cannot determine the specific focus of the agency from the name alone.,llm
Australia,collection of library material,unclear,0.0,Collection of Library Material,,False,The name does not provide enough information to determine if it is dedicated to R&D or a broader function.,llm
Australia,and rescue coordination,unclear,0.0,and rescue coordination,,False,Agency name does not provide enough information to classify.,llm
Australia,and advice,unclear,0.0,and advice,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,and development of the Marine Park,unclear,0.0,Marine Park Development Agency,,False,The name does not provide enough information to classify the agency.,llm
Australia,and technology,unclear,0.0,and technology,,False,Cannot determine the specific focus or function of the agency from the name alone.,llm
Australia,research and evaluation,unclear,0.0,Research and Evaluation,,False,Cannot determine the specific focus or budget allocation from the name alone.,llm
Australia,nationally and internationally,unclear,0.0,Nationally and Internationally,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,appropriately,unclear,0.0,appropriately,,False,Cannot determine from the name alone.,llm
Australia,registered organisations,unclear,0.0,Registered Organisations,,False,The name does not provide enough information to classify the agency.,llm
Australia,system,unclear,0.0,system,,False,Cannot determine from the name alone.,llm
Australia,the Laws of Armed Conflict for prosecution,unclear,0.0,Laws of Armed Conflict for Prosecution,,False,Cannot determine the nature of this agency from the name alone.,llm
Australia,resources and travel resources,unclear,0.0,Resources and Travel Resources,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,access through public programs and exhibitions,unclear,0.0,Access Through Public Programs and Exhibitions,,False,The name does not provide enough information to classify the agency.,llm
Australia,Australia's long-term rail investment,unclear,0.0,Australia's Long-Term Rail Investment,,False,Cannot determine the focus on R&D from the name alone.,llm
Australia,qualifications issued by training providers,unclear,0.0,Qualifications Issued by Training Providers,,False,The name does not specify if it is an R&D agency or a broader educational initiative.,llm
Australia,government digital and ICT procurement,unclear,0.0,Government Digital and ICT Procurement,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,information and support,unclear,0.0,Information and Support,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,with its enduring national significance,unclear,0.0,with its enduring national significance,,False,Cannot determine agency type from the name alone.,llm
Australia,statutory compliance inspections and reporting,unclear,0.0,Statutory Compliance Inspections and Reporting,,False,The name does not provide enough information to determine if it is an R&D agency or a ministry.,llm
Australia,hostel accommodation services,unclear,0.0,Hostel Accommodation Services,,False,The name does not indicate a focus on R&D.,llm
Australia,zero related policies and programs,unclear,0.0,zero related policies and programs,,False,Cannot determine agency type from the name alone.,llm
Australia,education and training,mixed_ministry,10.0,Department of Education and Training,,False,Broad government department where R&D is a small component.,llm
Australia,and deterrence of illegal foreign fishing,unclear,0.0,and deterrence of illegal foreign fishing,,False,The agency name does not provide enough information to classify.,llm
Australia,community-wide perspective,unclear,0.0,Community-Wide Perspective,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,Indigenous culture,unclear,0.0,Indigenous Culture,,False,Cannot determine the focus on R&D from the name alone.,llm
Australia,freedom of information and privacy functions,unclear,0.0,Freedom of Information and Privacy Functions,,False,The name does not indicate a focus on R&D.,llm
Australia,and welfare information and statistics,unclear,0.0,Welfare Information and Statistics,,False,Cannot determine the focus of the agency from the name alone.,llm
Australia,the Paris Agreement,unclear,0.0,the Paris Agreement,,False,"The name refers to an international treaty, not a specific agency.",llm
Australia,monitoring and reporting on human rights,unclear,0.0,Monitoring and Reporting on Human Rights,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,research; and influencing safety action,unclear,0.0,Research and Influencing Safety Action,,False,Cannot determine the primary focus or budget allocation from the name alone.,llm
Australia,services and regulation,unclear,0.0,Services and Regulation,,False,Cannot determine the focus of this agency from the name alone.,llm
Australia,submarine capability,unclear,0.0,Submarine Capability,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,"staging programs, exhibitions and events",unclear,0.0,"staging programs, exhibitions and events",,False,The name does not provide enough information to determine if it is dedicated to R&D or a broader ministry function.,llm
Australia,laws and instruments,unclear,0.0,Laws and Instruments,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,loans,unclear,0.0,Loans,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,exhibitions and educational programs,unclear,0.0,Exhibitions and Educational Programs,,False,The name does not provide enough information to determine if it is dedicated to R&D.,llm
Australia,and performance,unclear,0.0,and performance,,False,Cannot determine agency type from the name alone.,llm
Australia,through the State and Territory Governments,unclear,0.0,State and Territory Governments,,False,The name does not specify if it is a dedicated R&D agency or a mixed ministry.,llm
Australia,community,unclear,0.0,Community,,False,Cannot determine the specific focus or function of the agency from the name alone.,llm
Australia,ultimate appellate Court in Australia,unclear,0.0,Ultimate Appellate Court in Australia,,False,The name does not indicate a focus on R&D.,llm
Australia,stakeholders,unclear,0.0,stakeholders,,False,The name 'stakeholders' does not provide enough information to classify the agency.,llm
Australia,and preserving the national portrait collection,unclear,0.0,National Portrait Gallery,,False,The name suggests a focus on art and preservation rather than R&D.,llm
Australia,"jobs, and boost sovereign capability",unclear,0.0,Jobs and Boost Sovereign Capability,,False,Agency name does not provide clear indication of R&D focus.,llm
Australia,industry food practices,unclear,0.0,Industry Food Practices,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,the national blood arrangements,unclear,0.0,National Blood Arrangements,,False,Cannot determine from the name alone.,llm
Australia,and their staff,unclear,0.0,and their staff,,False,Agency name is unclear and does not provide sufficient information.,llm
Australia,print and audiovisual collections,unclear,0.0,Print and Audiovisual Collections,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,undertaking climate change research,unclear,0.0,Undertaking Climate Change Research,,False,Cannot determine the specific nature or structure of the agency from the name alone.,llm
Australia,"financing, delivery and operation",unclear,0.0,"Financing, Delivery and Operation",,False,Cannot determine the focus of this agency from the name alone.,llm
Australia,product,unclear,0.0,product,,False,Cannot determine from the name alone.,llm
Australia,water and water-related rights,unclear,0.0,Water and Water-Related Rights,,False,Cannot determine the focus on R&D from the name alone.,llm
Australia,and business loans,unclear,0.0,and business loans,,False,Agency name does not provide enough information to classify.,llm
Australia,distribution of GST revenue,unclear,0.0,Distribution of GST Revenue,,False,Cannot determine if this involves R&D from the name alone.,llm
Australia,and sharing insights from research,unclear,0.0,and sharing insights from research,,False,The name does not provide enough information to classify the agency.,llm
Australia,ADF members and Veterans,unclear,0.0,ADF Members and Veterans,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,and reporting,unclear,0.0,and reporting,,False,Cannot determine agency type from the name alone.,llm
Australia,reporting to Parliament,unclear,0.0,reporting to Parliament,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,practice administration of public hospital funding,unclear,0.0,Practice Administration of Public Hospital Funding,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,"to road, rail and intermodal transport",unclear,0.0,"Department of Road, Rail and Intermodal Transport",,False,The name does not provide enough information to determine if it is dedicated to R&D.,llm
Australia,activities,unclear,0.0,activities,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,Plan,unclear,0.0,Plan,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,violence,unclear,0.0,violence,,False,Cannot determine from the name alone.,llm
Australia,national significance,unclear,0.0,National Significance,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,the housing market sooner,unclear,0.0,the housing market sooner,,False,Cannot determine from the name alone.,llm
Australia,"children, families and communities",mixed_ministry,5.0,"Department of Children, Families and Communities",,False,Broad government department with R&D as a small component.,llm
Australia,carers,unclear,0.0,Carers,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,engagements,unclear,0.0,engagements,,False,Agency name does not provide enough information to classify.,llm
Australia,consultation and education,unclear,0.0,Consultation and Education,,False,Agency type cannot be determined from the name alone.,llm
Australia,pesticides and veterinary medicines,unclear,0.0,Pesticides and Veterinary Medicines,,False,Cannot determine the primary focus of the agency from the name alone.,llm
Australia,Islander children and young people,unclear,0.0,Islander Children and Young People,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,use of and investment in infrastructure,unclear,0.0,Use of and Investment in Infrastructure,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,Harbour,unclear,0.0,Harbour,,False,Cannot determine the nature of the agency from the name alone.,llm
Australia,advising government,unclear,0.0,Advising Government,,False,The name does not specify if it is an R&D agency or a ministry.,llm
Australia,the Arts,unclear,0.0,the Arts,,False,Cannot determine the specific focus on R&D from the name alone.,llm
Australia,Sport and the Arts,mixed_ministry,5.0,Department of Sport and the Arts,,False,Broad government department where R&D is a small component.,llm
Australia,Non-operating,unclear,0.0,Non-operating,,False,Agency type cannot be determined from the name alone.,llm
Australia,and financial assistance,unclear,0.0,and financial assistance,,False,Cannot determine the specific nature of the agency from the name alone.,llm
Australia,Bill 1,unclear,0.0,Bill 1,,False,Cannot determine from the name alone.,llm
Australia,Social Services,mixed_ministry,5.0,Department of Social Services,,False,Broad government department where R&D is a small component.,llm
Australia,Defence,mixed_ministry,10.0,Department of Defence,,False,Broad government department where R&D is a small component.,llm
Australia,"Health, Disability and Ageing",mixed_ministry,10.0,"Department of Health, Disability and Ageing",,False,Broad government department where R&D is a small component.,llm
Australia,Health and Aged Care,mixed_ministry,10.0,Department of Health and Aged Care,,False,Broad government department where R&D is a small component.,llm
Australia,Foreign Affairs and Trade,mixed_ministry,5.0,Department of Foreign Affairs and Trade,,False,Broad government department where R&D is a small component.,llm
Australia,Home Affairs,mixed_ministry,5.0,Department of Home Affairs,,False,Broad government department where R&D is a small component.,llm
Australia,Treasury,mixed_ministry,5.0,Department of the Treasury,,False,Broad government department where R&D is a small component.,llm
Australia,"Infrastructure, Transport, Regional",mixed_ministry,10.0,"Department of Infrastructure, Transport, Regional Development and Communications",,False,Broad government department where R&D is a small component.,llm
Australia,Services Australia,mixed_ministry,5.0,Services Australia,,False,Broad government department with R&D as a small component.,llm
Australia,Employment and Workplace Relations,mixed_ministry,5.0,Department of Employment and Workplace Relations,,False,Broad government department where R&D is a small component.,llm
Australia,"Climate Change, Energy, the",unclear,0.0,"Climate Change, Energy",,False,Cannot determine the specific focus or R&D component from the name alone.,llm
Australia,Australian Taxation Office,mixed_ministry,5.0,Australian Taxation Office,,False,"Primarily focused on taxation and revenue collection, with minimal R&D component.",llm
Australia,Attorney-General's,mixed_ministry,5.0,Attorney-General's Department,,False,Broad government department where R&D is a small component.,llm
Australia,"Industry, Science and Resources",mixed_ministry,10.0,"Department of Industry, Science and Resources",,False,Broad government department with R&D as a small component.,llm
Australia,Prime Minister and Cabinet,mixed_ministry,5.0,Department of the Prime Minister and Cabinet,,False,Broad government department with R&D as a small component.,llm
Australia,"Department of Infrastructure, Transport,",mixed_ministry,10.0,"Department of Infrastructure, Transport",,False,Broad government department where R&D is a small component.,llm
Australia,Education,mixed_ministry,5.0,Department of Education,,False,Broad government department where R&D is a small component.,llm
Australia,Finance,mixed_ministry,5.0,Department of Finance,,False,Broad government department where R&D is a small component.,llm
Australia,National Indigenous Australians Agency,unclear,0.0,National Indigenous Australians Agency,,False,Cannot determine from the name alone.,llm
Australia,National Disability Insurance Agency,mixed_ministry,5.0,National Disability Insurance Agency,,False,"Primarily focused on disability services, with R&D being a minor component.",llm
Australia,Australian Signals Directorate,mixed_ministry,10.0,Australian Signals Directorate,,False,Broad government department with R&D as a small component.,llm
Australia,Australian Federal Police,mixed_ministry,5.0,Australian Federal Police,,False,Primarily a law enforcement agency with minimal R&D component.,llm
Australia,Australian Broadcasting Corporation,mixed_ministry,5.0,Australian Broadcasting Corporation,,False,Primarily a broadcasting agency with minimal R&D component.,llm
Australia,"Department of Industry, Science and",mixed_ministry,10.0,"Department of Industry, Science and Technology",,False,Broad government department where R&D is a small component.,llm
Australia,"Agriculture, Fisheries and Forestry",mixed_ministry,10.0,"Department of Agriculture, Fisheries and Forestry",,False,Broad government department where R&D is a small component.,llm
Australia,Australian Research Council,dedicated_rd,90.0,Australian Research Council,,True,Agency primarily funds research across various disciplines.,llm
Australia,National Health and Medical Research,mixed_ministry,15.0,National Health and Medical Research Council,,False,Broad government department where R&D is a small component.,llm
Australia,Commonwealth Scientific and Industrial,dedicated_rd,90.0,Commonwealth Scientific and Industrial Research Organisation,,True,CSIRO is primarily focused on conducting and funding R&D.,llm
Australia,Australian Electoral Commission,mixed_ministry,5.0,Australian Electoral Commission,,False,"Primarily focused on electoral processes, R&D is a minor component.",llm
Australia,Department of Veterans' Affairs,mixed_ministry,5.0,Department of Veterans' Affairs,,False,Broad government department where R&D is a small component.,llm
Australia,Australian Securities and Investments,unclear,0.0,Australian Securities and Investments,,False,Cannot determine from the name alone.,llm
Australia,Australian Bureau of Statistics,mixed_ministry,5.0,Australian Bureau of Statistics,,False,"Primarily focused on statistical data collection and analysis, with R&D being a minor component.",llm
Australia,Australian Renewable Energy Agency,rd_programme,100.0,Australian Renewable Energy Agency,,True,Agency focuses on funding and supporting renewable energy R&D initiatives.,llm
Australia,Australian Secret Intelligence Service,mixed_ministry,5.0,Australian Secret Intelligence Service,,False,"Primarily focused on intelligence and security, with limited R&D component.",llm
Australia,Bureau of Meteorology,mixed_ministry,15.0,Bureau of Meteorology,,False,Primarily a weather service with some R&D components.,llm
Australia,Australian Trade and Investment,mixed_ministry,5.0,Australian Trade and Investment,,False,Broad government department with R&D as a small component.,llm
Australia,Australian Competition and Consumer,unclear,0.0,Australian Competition and Consumer Commission,,False,Cannot determine R&D focus from the name alone.,llm
Australia,Federal Court of Australia,unclear,0.0,Federal Court of Australia,,False,The agency name does not indicate a focus on R&D.,llm
Australia,Clean Energy Regulator,mixed_ministry,10.0,Clean Energy Regulator,,False,Primarily a regulatory body with some R&D components.,llm
Australia,Special Broadcasting Service,unclear,0.0,Special Broadcasting Service,,False,The agency name does not indicate a focus on R&D.,llm
Australia,Geoscience Australia,mixed_ministry,15.0,Geoscience Australia,,False,"Primarily a government agency focused on geoscience, with R&D as a component.",llm
Australia,Australian Submarine Agency,unclear,0.0,Australian Submarine Agency,,False,Agency name does not provide clear indication of R&D focus.,llm
Australia,Aged Care Quality and Safety,mixed_ministry,5.0,Aged Care Quality and Safety,,False,Broad government department with R&D as a small component.,llm
Australia,Australian Sports Commission,mixed_ministry,10.0,Australian Sports Commission,,False,"Primarily focused on sports development and promotion, with R&D being a minor component.",llm
Australia,Creative Australia,unclear,0.0,Creative Australia,,False,The name does not provide enough information to determine if it is dedicated to R&D or a broader ministry.,llm
Australia,Australian Digital Health Agency,mixed_ministry,10.0,Australian Digital Health Agency,,False,"Agency focuses on digital health initiatives, with R&D being a small component.",llm
Australia,Administrative Appeals Tribunal,unclear,0.0,Administrative Appeals Tribunal,,False,The agency's name does not indicate a focus on R&D.,llm
Australia,Department of the Prime Minister and,mixed_ministry,5.0,Department of the Prime Minister and Cabinet,,False,Broad government department where R&D is a small component.,llm
Australia,Australian Nuclear Science and,unclear,0.0,Australian Nuclear Science and Technology Organisation,,False,Incomplete agency name; cannot determine the full scope.,llm
Australia,Office of the Fair Work Ombudsman,unclear,0.0,Office of the Fair Work Ombudsman,,False,"The agency's focus is on fair work practices, not R&D.",llm
Australia,Administrative Review Tribunal,unclear,0.0,Administrative Review Tribunal,,False,The agency name does not indicate a focus on R&D.,llm
Australia,Tourism Australia,mixed_ministry,5.0,Tourism Australia,,False,Tourism Australia is primarily focused on promoting tourism rather than conducting R&D.,llm
Australia,Australian Criminal Intelligence,unclear,0.0,Australian Criminal Intelligence,,False,Cannot determine from the name alone.,llm
Australia,Office of National Intelligence,unclear,0.0,Office of National Intelligence,,False,"The agency's focus is not explicitly on R&D, making it unclear.",llm
Australia,Fair Work Commission,unclear,0.0,Fair Work Commission,,False,"The agency's focus is on workplace relations, not R&D.",llm
Australia,Australian Centre for International,unclear,0.0,Australian Centre for International,,False,Cannot determine the specific focus or R&D component from the name alone.,llm
Australia,Director of National Parks,mixed_ministry,10.0,Director of National Parks,,False,Primarily focused on park management with limited R&D activities.,llm
Australia,Australian National Audit Office,unclear,0.0,Australian National Audit Office,,False,"The agency's primary function is auditing, not R&D.",llm
Australia,National Archives of Australia,mixed_ministry,5.0,National Archives of Australia,,False,"Primarily focused on archiving and preserving national records, with minimal R&D component.",llm
Australia,National Library of Australia,mixed_ministry,5.0,National Library of Australia,,False,"Primarily a library and information service, with limited R&D activities.",llm
Australia,Australian Maritime Safety Authority,mixed_ministry,10.0,Australian Maritime Safety Authority,,False,Primarily a regulatory agency with limited R&D focus.,llm
Australia,Murray-Darling Basin Authority,unclear,0.0,Murray-Darling Basin Authority,,False,"The agency's focus is on water management and policy, not clearly defined as R&D.",llm
Australia,Great Barrier Reef Marine Park Authority,mixed_ministry,10.0,Great Barrier Reef Marine Park Authority,,False,Primarily a regulatory agency with some R&D components related to marine conservation.,llm
Australia,Australian Institute of Marine Science,dedicated_rd,90.0,Australian Institute of Marine Science,,True,Primarily focused on marine research and development.,llm
Australia,Australian Public Service Commission,mixed_ministry,5.0,Australian Public Service Commission,,False,"Primarily focused on public service management, with minimal R&D component.",llm
Australia,National Gallery of Australia,unclear,0.0,National Gallery of Australia,,False,"The agency's focus is on art and culture, not clearly defined as R&D.",llm
Australia,National Anti-Corruption Commission,unclear,0.0,National Anti-Corruption Commission,,False,"The agency's focus is on anti-corruption, not R&D.",llm
Australia,Australian Organ and Tissue Donation,mixed_ministry,10.0,Australian Organ and Tissue Donation,,False,"Part of broader health initiatives, R&D is a small component.",llm
Australia,Office of the Special Investigator,unclear,0.0,Office of the Special Investigator,,False,Cannot determine the agency's focus or budget allocation from the name alone.,llm
Australia,Independent Parliamentary Expenses,unclear,0.0,Independent Parliamentary Expenses,,False,The agency's focus on parliamentary expenses does not indicate a clear R&D function.,llm
Australia,National Museum of Australia,mixed_ministry,10.0,National Museum of Australia,,False,Primarily a cultural institution with limited R&D focus.,llm
Australia,High Speed Rail Authority,unclear,0.0,High Speed Rail Authority,,False,Cannot determine the primary focus of the agency from the name alone.,llm
Australia,Australian Financial Security Authority,unclear,0.0,Australian Financial Security Authority,,False,The agency name does not indicate a focus on R&D.,llm
Australia,Australian Skills Quality Authority,mixed_ministry,10.0,Australian Skills Quality Authority,,False,"Primarily focused on skills and training regulation, with limited R&D component.",llm
Australia,Digital Transformation Agency,mixed_ministry,10.0,Digital Transformation Agency,,False,"Agency focuses on digital transformation across government, with R&D being a small component.",llm
Australia,Australian War Memorial,mixed_ministry,5.0,Australian War Memorial,,False,"Primarily a memorial and museum, with limited R&D activities.",llm
Australia,Cancer Australia,mixed_ministry,10.0,Cancer Australia,,False,"Cancer Australia is a government agency focused on cancer control, with R&D being a small component of its overall activities.",llm
Australia,National Capital Authority,unclear,0.0,National Capital Authority,,False,Cannot determine from the name alone.,llm
Australia,Sport Integrity Australia,mixed_ministry,10.0,Sport Integrity Australia,,False,"Primarily focused on integrity in sports, with R&D being a minor component.",llm
Australia,Office of the Commonwealth,unclear,0.0,Office of the Commonwealth,,False,Cannot determine the specific focus of this agency from the name alone.,llm
Australia,Aboriginal Hostels Limited,unclear,0.0,Aboriginal Hostels Limited,,False,Cannot determine from the name alone.,llm
Australia,Net Zero Economy Authority,unclear,0.0,Net Zero Economy Authority,,False,Cannot determine the primary focus or budget allocation from the name alone.,llm
Australia,Civil Aviation Safety Authority,mixed_ministry,10.0,Civil Aviation Safety Authority,,False,Primarily a regulatory body with limited R&D focus.,llm
Australia,Australian Fisheries Management,mixed_ministry,10.0,Australian Fisheries Management,,False,Broad government department with R&D as a small component.,llm
Australia,Productivity Commission,unclear,0.0,Productivity Commission,,False,"The agency's focus is on productivity and economic analysis, not specifically R&D.",llm
Australia,Torres Strait Regional Authority,unclear,0.0,Torres Strait Regional Authority,,False,Cannot determine from the name alone.,llm
Australia,Office of the Australian Information,unclear,0.0,Office of the Australian Information,,False,Cannot determine from the name alone.,llm
Australia,Australian Institute of Health and Welfare,mixed_ministry,10.0,Australian Institute of Health and Welfare,,False,Primarily a health and welfare statistics agency with some R&D components.,llm
Australia,Australian Human Rights Commission,mixed_ministry,5.0,Australian Human Rights Commission,,False,"Primarily focused on human rights advocacy, with minimal R&D component.",llm
Australia,Australian Transport Safety Bureau,mixed_ministry,10.0,Australian Transport Safety Bureau,,False,Broad government department where R&D is a small component.,llm
Australia,Australian Radiation Protection and,unclear,0.0,Australian Radiation Protection and Nuclear Safety Agency,,False,Insufficient information to determine if it is dedicated to R&D or a mixed ministry.,llm
Australia,Australian Naval Nuclear Power Safety,unclear,0.0,Australian Naval Nuclear Power Safety,,False,Cannot determine the primary focus of the agency from the name alone.,llm
Australia,Australian National Maritime Museum,mixed_ministry,10.0,Australian National Maritime Museum,,False,Primarily a museum with limited R&D focus.,llm
Australia,Office of Parliamentary Counsel,unclear,0.0,Office of Parliamentary Counsel,,False,The agency's focus is unclear from the name alone.,llm
Australia,Regional Investment Corporation,unclear,0.0,Regional Investment Corporation,,False,Cannot determine from the name alone.,llm
Australia,Old Parliament House,unclear,0.0,Old Parliament House,,False,Cannot determine from the name alone.,llm
Australia,Tertiary Education Quality and,unclear,0.0,Tertiary Education Quality and,,False,Cannot determine from the name alone.,llm
Australia,Northern Australia Infrastructure Facility,unclear,0.0,Northern Australia Infrastructure Facility,,False,Cannot determine from the name alone.,llm
Australia,National Offshore Petroleum Safety and,unclear,0.0,National Offshore Petroleum Safety and Environmental Management Authority,,False,Cannot determine the R&D focus from the name alone.,llm
Australia,High Court of Australia,mixed_ministry,0.0,High Court of Australia,,False,"The High Court is a judicial body, not focused on R&D.",llm
Australia,Clean Energy Finance Corporation,unclear,0.0,Clean Energy Finance Corporation,,False,Cannot determine from the name alone.,llm
Australia,National Portrait Gallery of Australia,unclear,0.0,National Portrait Gallery of Australia,,False,The agency name suggests a focus on art and culture rather than R&D.,llm
Australia,National Reconstruction Fund,unclear,0.0,National Reconstruction Fund,,False,Cannot determine the primary focus of the agency from the name alone.,llm
Australia,Food Standards Australia New Zealand,mixed_ministry,10.0,Food Standards Australia New Zealand,,False,Primarily a regulatory agency with some R&D components.,llm
